Artist,# Keep,# Cull,Total Games by This Artist,Games
Artur Sadlos,0,1,1,Tides of Time (CULL)
Dmitry Burmak,0,1,1,Viceroy (CULL)
Sergey Dulin,0,1,1,Viceroy (CULL)
Pavel Guzenko,0,1,1,Viceroy (CULL)
Anna Ignatieva,0,1,1,Viceroy (CULL)
Ilya Komarov,0,1,1,Viceroy (CULL)
Kate Maximovich,0,1,1,Viceroy (CULL)
Dmitry Prosvirnin,0,1,1,Viceroy (CULL)
Jun Kondo,0,1,1,Onitama (CULL)
Mariusz Szmerdt,0,1,1,Onitama (CULL)
Danny Devine,0,1,1,Sprawlopolis (CULL)
Vincent Joubert,0,1,1,Via Nebula (CULL)
Jason D. Kingsley,0,1,1,The Game (CULL)
Gabriela Silveira,0,1,1,Ghost Blitz (CULL)
Peter Wocken,0,1,1,Sagrada (CULL)
Sylvain Aublin,0,1,1,Scarabya (CULL)
Thomas Vuarchex,0,1,1,Jungle Speed (CULL)
